SHEET 1: COMPANY OVERVIEW,,,,
Field,Value,,,
Company Name,DealStage LLC,,,
Website,www.thedealstage.com,,,
Founded,2024,,,
Headquarters,"New York, NY",,,
Entity Type,LLC (Delaware),,,
Mission,"Make talent-brand partnerships data-driven, transparent, and fair",,,
Stage,Pre-Seed / Seed,,,
Employees,1-5,,,
Contractors,0,,,
Total Headcount,1-5,,,
Monthly Burn Rate,$15K-$25K (estimated),,,
Runway,TBD — dependent on raise,,,
Bank,TBD,,,
Accounting Software,TBD,,,
Payroll Provider,TBD,,,
,,,,
,,,,
SHEET 2: ORGANIZATIONAL STRUCTURE,,,,,,,,,,
Role,Name,Type,Start Date,Salary / Rate,Equity %,Reports To,Department,Status,Priority to Hire
CEO / Founder,[Founder Name],Full-Time,2024,TBD,TBD,Board,Executive,Active,—
CTO,[Open],Full-Time,TBD,$150K-$200K,2-5%,CEO,Engineering,Hiring,Immediate
Head of Content,[Open],Full-Time,TBD,$120K-$160K,1-3%,CEO,Content,Hiring,Month 3
Podcast Host,[Open],Full-Time,TBD,$80K-$120K,0.5-1%,Head of Content,Content,Hiring,Month 2
Full-Stack Developer,[Open],Full-Time,TBD,$130K-$170K,1-2%,CTO,Engineering,Hiring,Month 1
ML/AI Engineer,[Open],Full-Time,TBD,$150K-$190K,1-3%,CTO,Engineering,Hiring,Month 3
Head of Growth/Marketing,[Open],Full-Time,TBD,$120K-$160K,1-3%,CEO,Marketing,Hiring,Month 2
Head of Sales/Partnerships,[Open],Full-Time,TBD,$120K-$150K + commission,1-2%,CEO,Sales,Hiring,Month 3
Video Producer,[Open],Contract,TBD,$5K-$8K/mo,—,Head of Content,Content,Hiring,Month 5
Video Editor,[Open],Contract,TBD,$3K-$5K/mo,—,Head of Content,Content,Hiring,Month 5
Social Media Manager,[Open],Contract,TBD,$3K-$5K/mo,—,Head of Growth,Marketing,Hiring,Month 4
Community Manager,[Open],Part-Time,TBD,$2K-$3K/mo,—,Head of Growth,Marketing,Hiring,Month 2
Legal Counsel,[Open],Retainer,TBD,$5K-$10K/mo,—,CEO,Legal,Hiring,Month 1
Bookkeeper/Accountant,[Open],Contract,TBD,$1K-$2K/mo,—,CEO,Finance,Hiring,Month 1
Executive Producer (TV),[Open],Contract,TBD,$25K-$40K/episode,—,CEO,Content,Hiring,Month 12
Customer Success,[Open],Full-Time,TBD,$70K-$90K,0.5-1%,Head of Sales,Operations,Hiring,Month 6
Showrunner,[Open],Contract,TBD,$25K-$40K/episode,—,EP,Content,Hiring,Month 15
,,,,,,,,,,
,,,,,,,,,,
SHEET 3: REVENUE STREAMS,,,,,,,,
Stream,Type,Current MRR,Month 6 Target,Month 12 Target,Month 24 Target,Owner,Status
Talent Subscriptions (4 tiers),SaaS Recurring,$0,$27K,$114K,$448K,Sales,Pre-Launch
Brand Subscriptions (4 tiers),SaaS Recurring,$0,$47K,$188K,$774K,Sales,Pre-Launch
Agency Subscriptions (3 tiers),SaaS Recurring,$0,$70K,$280K,$1.05M,Sales,Pre-Launch
Transaction Fees (Stripe 2.9%),Transaction,$0,$2K,$8K,$30K,Product,Active (Stripe live)
TV Show Revenue,Media,—,—,—,$3.9M/mo (during season),EP,Development
YouTube Revenue (all series),Media,$0,$2K,$8K,$25K,Content,Pre-Production
Podcast Revenue (all shows),Media,$0,$5K,$20K,$60K,Content,Pre-Production
Data Intelligence Products,Data,$0,—,$10K,$50K,Data Lead,Planned
TOTAL,,$0,$153K,$628K,$6.34M,,
,,,,,,,,
,,,,,,,,
SHEET 4: EXPENSE CATEGORIES (MONTHLY),,,,,,,,
Category,Current Monthly,Month 6,Month 12,Month 24,Annual Run Rate (Month 24),Notes,
Salaries (full-time),$0,$30K,$60K,$120K,$1.44M,Ramp as hires made,
Contractors,$5K,$15K,$20K,$25K,$300K,Video + social + legal + accounting,
Infrastructure (Supabase/Vercel/tools),$50,$200,$500,$1K,$12K,Scale with usage,
AI Provider Costs,$10,$100,$500,$2K,$24K,Scales with AI usage,
Stripe Fees,$0,$1K,$3K,$10K,$120K,2.9% of transaction volume,
Content Production,$0,$15K,$30K,$50K,$600K,Podcast + YouTube,
Marketing/Paid Ads,$0,$5K,$10K,$25K,$300K,Social + search + podcast ads,
Legal,$2K,$5K,$5K,$8K,$96K,IP + contracts + compliance,
Insurance,$0,$1K,$2K,$3K,$36K,D&O + E&O when needed,
Office/Misc,$0,$1K,$2K,$3K,$36K,Co-working + supplies,
Travel/Events,$0,$2K,$5K,$8K,$96K,Conferences + meetings,
TOTAL,$7K,$76K,$138K,$255K,$3.06M,,
,,,,,,,,
,,,,,,,,
SHEET 5: FUNDRAISING TRACKER,,,,,,,,
Round,Target Amount,Pre-Money Valuation,Lead Investor,Status,Use of Funds,Target Close,
Pre-Seed / Friends & Family,$250K-$500K,$2M-$4M,TBD,Planning,"Platform polish + first content + first hires",Month 1-2,
Seed,$1.5M-$3M,$8M-$15M,TBD,Planning,"Team (5-8 hires) + content production + 18-month runway",Month 6-8,
Series A,$8M-$15M,$40M-$80M,TBD,Future,"TV production + international + scale team to 25+",Month 18-24,
Series B,$25M-$50M,$150M-$300M,TBD,Future,"Media empire scale + global expansion + M&A",Month 36+,
,,,,,,,,
,,,,,,,,
